Двигатель;Номер детали;Исходное (обрезанное) значение;Что делать
NTE200;3903990;"01T7-4,01T6";Открыть деталь 3903990 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3914407;"TSB230131,0";Открыть деталь 3914407 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3924725;"TSB220165,T";Открыть деталь 3924725 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3937692;"05T0-39,240";Открыть деталь 3937692 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3966349;"TSB230074,0";Открыть деталь 3966349 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;4001044;"02T0-8,02T0";Открыть деталь 4001044 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;4924925;"TSB220145,T";Открыть деталь 4924925 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;43828A;"08T8-1,01T3";Открыть деталь 43828A на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;69911A;"97T6-6,08T1";Открыть деталь 69911A на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;S103D;"TSB220049,0";Открыть деталь S103D на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;S127;"08T11-4,01T";Открыть деталь S127 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;S167B;"96T11-3A,97";Открыть деталь S167B на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;S602;"01T8-7,04T0";Открыть деталь S602 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;S604;"TSB220049,0";Открыть деталь S604 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;S631;"91T5-7,01T1";Открыть деталь S631 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;129888;"05T5-19,07T";Открыть деталь 129888 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;196057;"07T5-13,05T";Открыть деталь 196057 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;205168;"06T8-2,08T8";Открыть деталь 205168 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;206506;"08T8-6,06T8";Открыть деталь 206506 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3016787;"99T1-10,TSB";Открыть деталь 3016787 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3021420;"99T5-3,07T5";Открыть деталь 3021420 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3089238;"02T7-3,01T7";Открыть деталь 3089238 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3089240;"02T0-4,05T5";Открыть деталь 3089240 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3090400;"TSB250148,0";Открыть деталь 3090400 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3092334;"04T7-11,05T";Открыть деталь 3092334 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3092366;"TSB101088,9";Открыть деталь 3092366 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3092821;"TSB101088,9";Открыть деталь 3092821 на quickserve.cummins.com — там указан полный список тем/бюллетеней
TR100A;3092922;"06T0-36,97T";Открыть деталь 3092922 на quickserve.cummins.com — там указан полный список тем/бюллетеней
