Артикул (Part No.),Наименование (RU),Description (EN),Description (ZH),"Цена, CNY без НДС",Группа,Взаимозаменяемый артикул,Источник,Разделы
15256400,Трубка в сборе,TUBE ASSY,钢管总成,60.81,,,TR100A,250-0020
15256401,Трубка в сборе,TUBE ASSY,钢管总成,82.62,,,TR100A,250-0020
15256431,CLEANER,KIT-WASHER BOTTLE,,442.26,,,TR100A,260-0190
15256538,TEE,TEE,三通,56.36,Гидравлическая система,,TR100A,230-0021 250-0020
15256550,PLATE-BENT,PLATE-BENT,弯板,7.58,Гидравлическая система,,TR100A,230-0020
15256589,ELBOW CONNECTION,ELBOW,弯头,37.91,,,TR100A,230-0021 250-0020
15256601,,L L BRACKET,支架,,,,TR100A,250-0020
15256639,JOINT,ADAPTOR,接头,80.35,Гидравлическая система,,TR100A,230-0021
15256731,BOLT,BOLT,六角头螺栓,8.85,,,TR100A,220-0010
15256755,,ADAPTOR,接头,,,,TR100A,250-0020
15256760,,ELBOW,弯头,,,,TR100A,250-0020
15256858,,'DOOR ASSY,,,,,TR100A,100-0040
15256924,BOLT,SCREW,螺钉,16.29,Гидравлическая система,,TR100A,230-0021
15256949,,BREATHER,લ੮ಞ,,,,TR100A,200-0010
15257078,,BRACKET,装载制动阀支架,,,,TR100A,250-0020
15257082,,ELBOW,弯头,,,,TR100A,250-0020
15257170,ADAPTOR,ADAPTER,,118.38,,,TR100A,120-0010
15257190,JOINT,MALE-MALE A NOTES: A ADD SINGLE DROP OF LOCTITE TO MID-POINT OF THREADS ON SCREW (ITEM,管接头,506.08,,,TR100A,120-0090
15257356,CLIP - TUBE,CLIP,管夹子,27.58,,,TR100A,250-0020
15257357,,BLATE,顶板,,,,TR100A,250-0020
15257358,THREADING ROD,BOLT,螺栓,4.06,,,TR100A,230-0021
15257449,,LOCTITE CLEANER AND RETAINING COMPOUND.,,,,,TR100A,165-0030
15257770,KEYSWITCH,KEY SWITCH,钥匙开关,524.07,Кабина,,TR100A,260-0080
15258036,ELBOW,ELBOW,,375.37,,,TR100A,120-0110
15258038,RING,D SEAL D-RING,,1192.97,Тормозная система,,TR100A,165-0030
15258051,RING,D SEAL D-RING,,2012.34,Тормозная система,,TR100A,165-0030
15258053,"Прокладка типа ""О""",O SEAL O-RING,,725.4,Тормозная система,,TR100A,165-0030
15258054,O RING,O SEAL O-RING,,45.57,Тормозная система,,TR100A,165-0030
15258075,TUBE ASSY 2.50 S/FLANGE,TUBE ASSY,管总成,365.18,Гидравлическая система,,TR100A,210-0052 230-0020
15258243,,ADAPTER,接头,,,,TR100A,200-0040
15258443,SOLENOID VALVE,ISOLATOR RELAY,绝缘器继电器,2518.43,Электрооборудование,,TR100A,190-0070
15258472,PLASTIC CLAMP,CLAMP,管夹,55.17,,,TR100A,230-0021
15258771,P-CLAMP,CLIP,夹子,6.0,,,TR100A,210-0061
15258867,,CLIP,鞍型卡子,,,,TR100A,210-0050
15259155,VALVE,VALVE,,11892.94,,,TR100A,250-0130
15259165,SWITCH ASST,SWITCH-ASSY,开关总成,940.26,,,TR100A,190-0270
15265278,SEAL KIT,OVERHAUL KIT.,,4128.42,,,TR100A,230-0130
15266825,PAD SET,KIT-LINING,,1367.15,Тормозная система,,TR100A,165-0020
15267039,CHECK PLATE,PLATE-THRUST,,820.08,Тормозная система,,TR100A,165-0020
15267601,,SEAT-SPRING,,,,,TR100A,250-0130
15268372,SPRING KIT,KIT-SPRING,,2509.95,,,TR100A,250-0070
15268373,SEAL KIT,KIT-SEAL,,489.29,,,TR100A,250-0070
15268374,BOOT KIT,KIT-BOOT,,261.44,,,TR100A,250-0070
15268375,SPOOL,KIT-SPOOL,,21938.04,,,TR100A,250-0070
15268376,,COLLAR,,,,,TR100A,250-0070 250-0130
15268377,,PLUNGER,,,,,TR100A,250-0070
15268382,,SPRING-SEAT,,,,,TR100A,250-0070
15268392,,SCREW,,,,,TR100A,250-0070
15268395,,SCREW,,,,,TR100A,250-0070
15268396,,NUT,,,,,TR100A,250-0070
15268397,,BOLT-U,,,,,TR100A,250-0070
15268398,,SCREW,,,,,TR100A,250-0130
15268399,,NUT,,,,,TR100A,250-0070 250-0130
15268400,,SCRWE,,,,,TR100A,250-0070
15268402,,INSERT,,,,,TR100A,250-0070
15268403,,PIN,,,,,TR100A,250-0070
15268404,,SPRING,,,,,TR100A,250-0070
15268405,,SPRING,,,,,TR100A,250-0070
15268408,,SCREW,,,,,TR100A,250-0070
15268409,,PLATE,,,,,TR100A,250-0070
15268410,,SCREW,,,,,TR100A,250-0070
15268412,,INSERT,,,,,TR100A,250-0070
15268414,,SCREW,,,,,TR100A,250-0070
15268415,,SCREW,,,,,TR100A,250-0070
15268416,SPRING KIT,KIT-SPRING,,2783.14,,,TR100A,250-0130
15268417,SEAL KIT,KIT-SEAL,,826.28,,,TR100A,250-0130
15268418,SPOOL KIT,KIT-SPOOL/SLEEVE,,4373.52,,,TR100A,250-0130
15268419,,PLUNGER,,,,,TR100A,250-0130
15268429,,WASHER,,,,,TR100A,250-0130
15268430,,SCREW,,,,,TR100A,250-0130
15268432,,CAP,,,,,TR100A,250-0130
15268433,,CAM,,,,,TR100A,250-0130
15268435,,PLUG,,,,,TR100A,250-0130
15268436,,NUT,,,,,TR100A,250-0130
15268437,,SCREW,,,,,TR100A,250-0130
15268438,,SPRING,,,,,TR100A,250-0130
15268439,,PUCK-FRIC,,,,,TR100A,250-0130
15268440,,SCREW,,,,,TR100A,250-0130
15268444,,KNOB,,,,,TR100A,250-0130
15268660,,PLATE ASSY,,,,,TR100A,250-0070
15268675,,RUBBER COVER,上胶套,,,,TR100A,210-0020
15268676,,RUBBER COVER,下胶套,,,,TR100A,210-0020
15269876,SEAL KIT,,,261.44,,,TR100A,250-0110
15269878,Комплект уплотнений перепускного клапана низкого давления (3 шт),NOTE: A#15269876 SEAL KIT PRESSURE REDUCING VALVE B#15269877 SEAL KIT SHUTTLE VALVE,,168.32,,,TR100A,250-0100
15269952,SEAL KIT,NOTES: 15269876!SEAL KIT-PRESSURE REDUCING VALVE,,167.9,,,TR100A,250-0110
15270188,AIR FILTER (AF25454),FIRST FILTER,,415.05,Фильтр,,TR100A,110-0050
15270189,SECONDARY FILTER,FINE FILTER,,266.48,Фильтр,,TR100A,110-0050
15270190,END CAP,CAP ASSY,,519.28,,,TR100A,110-0050
15270191,,LOCK,,,,,TR100A,110-0050
15270192,VALVE VACUATOR,VACUUM VALVE,,41.97,,,TR100A,110-0050
15270794,SPOOL,FILTER,滤芯,162.09,Фильтр,,TR100A,260-0130
15270808,STEERING CONTROL VALVE SEAL KIT 15502896,KIT-SEAL,密封组件,946.21,Рулевое управление,,TR100A,220-0090
15271389,SEAL KIT,KIT-SEAL,,2444.07,Тормозная система,,TR100A,165-0020
15271476,UNIVERSAL JOINT ASS,U-JOINT ASSY,,16485.39,,,TR100A,130-0020
15271477,BOLT/NUT SET,BOLT/NUT,,159.5,,,TR100A,130-0020
15271481,WASH MOTOR-WINDSHIELD,24V PUMP-24V,,338.83,,,TR100A,260-0190
15271482,,RING SEAL,,,,,TR100A,260-0190
15271804,,CAP WSHERBOTTLE,,,,,TR100A,260-0190
15272027,BUSHING,GUIDE BUSH ASSY,,2510.08,,,TR100A,230-0081
15272028,SEAL KIT,SEAL KIT,,399.86,,,TR100A,230-0081
15272073,,SUPPORT,支撑杆,,,,TR100A,260-0011
15272074,Control tower cover plate,COVER,盖板,2920.17,,,TR100A,260-0011
15272075,Control tower cover plate locking,LATCH,卡锁,278.23,,,TR100A,260-0011
15272076,,ROD,杆,,,,TR100A,260-0011
15272380,,CAP-PLATE,,,,,TR100A,165-0020
15272694,SEAL KIT,UNITS-SEAL,,2220.97,,,TR100A,230-0060
15272734,,O O-RING,,,,,TR100A,165-0030
15272865,CROSS AXLE,U-JOINT ASSY,,6773.06,,,TR100A,130-0010
15272875,KIT-STEM & COIL,KIT-STEM COIL,线圈散件,2116.6,,,TR100A,120-0190
15272881,,P I N T H I,,,,,TR100A,250-0130
15274258,SPOOL-SOLENOID,CAPTRIDGE-SOLENOID,,2048.72,,,TR100A,250-0050
15274259,COIL-SOLENOID,COIL-SOLENOID,,998.52,,,TR100A,250-0050
15274260,KIT-MAINTENANCE,NOTE,,247.61,,,TR100A,250-0050
15274261,Обратный гидравлический клапан в сборе,KIT-CHECK VALVE,,325.48,,,TR100A,250-0050
15274411,,CARTRIDGE STEM,,,,,TR100A,250-0151
15274412,electromagnet,COIL,,811.31,,,TR100A,250-0151
15274413,,ATTACHMENT,,,,,TR100A,250-0151
15274414,SEAL KIT-PARKING BRAKE,NOTE:,,1283.84,,,TR100A,250-0151
15275135,,SPACER-PLASTIC,隔套,,,,TR100A,260-0011
15300082,PRESSURE SWITCH,SWITCH-PRESSURE,压力开关,862.26,,,TR100A,190-0270
15300083,PRESSURE SWITCH,SWITCH-PRESSURE,压力开关,998.98,,,TR100A,190-0270
15300084,PRESSURE SWITCH,SWITCH-PRESSURE,压力开关,853.63,,,TR100A,190-0270
15300086,PRESSURE SWITCH,SWITCH-PRESSURE SWITCH-LEVEL,压力开关,610.4,,,TR100A,190-0270
15300087,SWITCH-TEMPERATURE,URE SENDER-FUEL,温度开关,624.81,,,TR100A,190-0270
